title,author,refer,Post Title,published_date,read_time
Splash 2.0 is here with Qt 5 and Python 3,By Zyte team,https://www.zyte.com/blog/splash-2-0-here-with-qt-5-and-python-3/,Splash 2.0 is here with Qt 5 and Python 3,29-Feb-16,3
How web scraping is revealing lobbying and corruption in Peru,By Zyte team,https://www.zyte.com/blog/how-web-scraping-is-revealing-lobbying-and-corruption-in-peru/,How web scraping is revealing lobbying and corruption in Peru,9-Mar-16,4
Join Scrapinghub for Google Summer of Code 2016,By Zyte team,https://www.zyte.com/blog/join-scrapinghub-now-zyte-for-google-summer-of-code-2016/,Join Scrapinghub for Google Summer of Code 2016,14-Mar-16,3
Tips for creating a cohesive company culture remotely,By Zyte team,https://www.zyte.com/blog/tips-for-creating-a-cohesive-company-culture-remotely/,Tips for creating a cohesive company culture remotely,16-Nov-15,5
"Black Friday, Cyber Monday: Are they worth it?",By Zyte team,https://www.zyte.com/blog/black-friday-cyber-monday-are-they-worth-it/,"Black Friday, Cyber Monday: Are they worth it?",3-Dec-15,6
Chats with RINAR Solutions,By Zyte team,https://www.zyte.com/blog/chats-with-rinar-solutions/,Chats with RINAR Solutions,16-Dec-15,4
Christmas eve vs new year's eve: Last-minute price inflation?,By Zyte team,https://www.zyte.com/blog/christmas-eve-vs-new-years-eve-last-minute-price-inflation/,Christmas eve vs new year's eve: Last-minute price inflation?,6-Jan-16,4
Winter sales showdown: Black Friday vs Cyber Monday vs Green Monday,By Zyte team,https://www.zyte.com/blog/winter-sales-showdown-black-friday-vs-cyber-monday-vs-green-monday/,Winter sales showdown: Black Friday vs Cyber Monday vs Green Monday,21-Dec-15,4
Looking back at 2015,By Zyte team,https://www.zyte.com/blog/looking-back-at-2015/,Looking back at 2015,31-Dec-15,5
Vizlegal: Rise of machine-readable laws and court judgments,By Zyte team,https://www.zyte.com/blog/vizlegal-rise-of-machine-readable-laws-and-court-judgments/,Vizlegal: Rise of machine-readable laws and court judgments,13-Jan-16,4
Scrapy tips from the pros: part 1,By Zyte team,https://www.zyte.com/blog/scrapy-tips-from-the-pros-part-1/,Scrapy tips from the pros: part 1,19-Jan-16,5
Happy anniversary: Zyte (formerly Scrapinghub) turns 5,By Zyte team,https://www.zyte.com/blog/happy-anniversary-scrapinghub-now-zyte-turns-5/,Happy anniversary: Zyte (formerly Scrapinghub) turns 5,27-Jan-16,4
Python 3 is coming to Scrapy,By Zyte team,https://www.zyte.com/blog/python-3-support-with-scrapy-1/,Python 3 is coming to Scrapy,4-Feb-16,2
StartupChats remote working Q&A,By Zyte team,https://www.zyte.com/blog/startupchats-remote-working/,StartupChats remote working Q&A,17-Jul-15,< 1
The road to loading JavaScript in Portia,By Zyte team,https://www.zyte.com/blog/the-road-to-loading-javascript-in-portia/,The road to loading JavaScript in Portia,3-Aug-15,4
EuroPython 2015,By Zyte team,https://www.zyte.com/blog/europython-2015/,EuroPython 2015,21-Jul-15,3
Scrapy on the road to Python 3 support,By Zyte team,https://www.zyte.com/blog/scrapy-on-the-road-to-python-3-support/,Scrapy on the road to Python 3 support,19-Aug-15,4
Introducing Javascript support for Portia,By Zyte team,https://www.zyte.com/blog/introducing-javascript-support-for-portia/,Introducing Javascript support for Portia,19-Aug-15,2
Distributed Frontera: Web crawling at scale,By Zyte team,https://www.zyte.com/blog/distributed-frontera-web-crawling-at-large-scale/,Distributed Frontera: Web crawling at scale,6-Aug-15,5
Parse natural language dates with Dateparser,By Zyte team,https://www.zyte.com/blog/parse-natural-language-dates-with-dateparser/,Parse natural language dates with Dateparser,9-Nov-15,3
Google Summer of Code 2015,By Zyte team,https://www.zyte.com/blog/google-summer-of-code-2015/,Google Summer of Code 2015,25-Jun-15,< 1
Aduana: Link analysis to crawl the web at scale,By Zyte team,https://www.zyte.com/blog/aduana-link-analysis-to-crawl-the-web-at-scale/,Aduana: Link analysis to crawl the web at scale,29-Sep-15,9
PyCon Philippines 2015,By Zyte team,https://www.zyte.com/blog/pycon-philippines-2015/,PyCon Philippines 2015,15-Jul-15,3
A career in remote working,By Zyte team,https://www.zyte.com/blog/a-career-in-remote-working/,A career in remote working,"April 28, 2015",3
Traveling tips for remote workers,By Zyte team,https://www.zyte.com/blog/traveling-tips-for-remote-workers/,Traveling tips for remote workers,12-May-15,4
Gender inequality across programming languages,By Zyte team,https://www.zyte.com/blog/gender-inequality-across-programming-languages/,Gender inequality across programming languages,27-May-15,2
Scrape data visually with Portia and Scrapy Cloud,By Zyte team,https://www.zyte.com/blog/scrape-data-visually-with-portia-and-scrapy-cloud/,Scrape data visually with Portia and Scrapy Cloud,"April 7, 2015",4
Frontera: The brain behind the crawls,By Zyte team,https://www.zyte.com/blog/frontera-the-brain-behind-the-crawls/,Frontera: The brain behind the crawls,"April 22, 2015",5
Zyte (formerly Scrapinghub): A remote working success story,By Zyte team,https://www.zyte.com/blog/scrapinghub-now-zyte-remote-working-success-story/,Zyte (formerly Scrapinghub): A remote working success story,17-Mar-15,3
Using git to manage vacations in a large distributed team,By Zyte team,https://www.zyte.com/blog/git-for-managing-vacations/,Using git to manage vacations in a large distributed team,8-Jun-15,3
Aduana: Link analysis with Frontera,By Zyte team,https://www.zyte.com/blog/aduana-link-analysis-with-frontera/,Aduana: Link analysis with Frontera,8-Jun-15,10
Introducing data reviews,By Zyte team,https://www.zyte.com/blog/introducing-data-reviews/,Introducing data reviews,27-Jun-14,< 1
Introducing ScrapyRT: An API for Scrapy spiders,By Zyte team,https://www.zyte.com/blog/introducing-scrapyrt-an-api-for-scrapy-spiders/,Introducing ScrapyRT: An API for Scrapy spiders,22-Jan-15,< 1
XPath tips from the web scraping trenches,By Zyte team,https://www.zyte.com/blog/xpath-tips-from-the-web-scraping-trenches/,XPath tips from the web scraping trenches,17-Jul-14,3
Link analysis algorithms explained,By Zyte team,https://www.zyte.com/blog/link-analysis-algorithms-explained/,Link analysis algorithms explained,19-Jun-15,6
"EuroPython, here we go!",By Zyte team,https://www.zyte.com/blog/europython-here-we-go/,"EuroPython, here we go!",12-Jun-15,4
New changes to our Scrapy cloud platform,By Zyte team,https://www.zyte.com/blog/new-changes-to-our-scrapy-cloud-platform/,New changes to our Scrapy cloud platform,23-Jan-15,3
Handling JavaScript in Scrapy with Splash,By Zyte team,https://www.zyte.com/blog/handling-javascript-in-scrapy-with-splash/,Handling JavaScript in Scrapy with Splash,2-Mar-15,5
Looking back at 2014,By Zyte team,https://www.zyte.com/blog/looking-back-at-2014/,Looking back at 2014,31-Dec-14,3
Scrapinghub (now Zyte) crawls the deep web,By Zyte team,https://www.zyte.com/blog/memex/,Scrapinghub (now Zyte) crawls the deep web,24-Feb-15,< 1
Skinfer: A tool for inferring JSON schemas,By Zyte team,https://www.zyte.com/blog/skinfer-a-tool-for-inferring-json-schemas/,Skinfer: A tool for inferring JSON schemas,5-Mar-15,2
The history of Scrapinghub,By Zyte team,https://www.zyte.com/blog/history-of-zyte-formerly-scrapinghub/,The history of Scrapinghub,16-Mar-15,2
Why we moved to Slack,By Zyte team,https://www.zyte.com/blog/why-we-moved-to-slack/,Why we moved to Slack,16-Mar-15,3
Git workflow for Scrapy projects,By Zyte team,https://www.zyte.com/blog/git-workflow-scrapy-projects/,Git workflow for Scrapy projects,6-Mar-13,2
Looking back at 2013,By Zyte team,https://www.zyte.com/blog/looking-back-at-2013/,Looking back at 2013,31-Dec-13,2
Introducing Dash,By Zyte team,https://www.zyte.com/blog/introducing-dash/,Introducing Dash,27-Jul-13,4
Why MongoDB is a bad choice for storing our scraped data,By Zyte team,https://www.zyte.com/blog/mongo-bad-for-scraped-data/,Why MongoDB is a bad choice for storing our scraped data,13-May-13,4
Optimizing memory usage of Scikit-Learn models using succinct tries,By Zyte team,https://www.zyte.com/blog/optimizing-memory-usage-of-scikit-learn-models-using-succinct-tries/,Optimizing memory usage of Scikit-Learn models using succinct tries,26-Mar-14,7
"Introducing Crawlera (now Zyte Smart Proxy Manager), a smart page downloader",By Zyte team,https://www.zyte.com/blog/introducing-crawlera-now-zyte-smart-proxy-manager/,"Introducing Crawlera (now Zyte Smart Proxy Manager), a smart page downloader",11-May-13,< 1
Marcos Campal is a ScrapingHubber!,By Zyte team,https://www.zyte.com/blog/marcos-campal-is-a-scrapinghubber/,Marcos Campal is a ScrapingHubber!,1-Oct-13,< 1
Extracting schema.org microdata using Scrapy selectors and XPath,By Zyte team,https://www.zyte.com/blog/extracting-schema-org-microdata-using-scrapy-selectors-and-xpath/,Extracting schema.org microdata using Scrapy selectors and XPath,18-Jun-14,4
"Announcing Portia, the open-source visual web scraper!",By Zyte team,https://www.zyte.com/blog/announcing-portia/,"Announcing Portia, the open-source visual web scraper!","April 1, 2014",< 1
Open source at Zyte,By Zyte team,https://www.zyte.com/blog/open-source-at-scrapinghub-now-zyte/,Open source at Zyte,18-Jan-14,2
Scrapy 0.14 released,By Kevin McKinless,https://www.zyte.com/blog/scrapy-0-14-released/,Scrapy 0.14 released,18-Nov-11,< 1
Spoofing your Scrapy bot IP using tsocks,By Kevin McKinless,https://www.zyte.com/blog/scrapy-tsocks/,Spoofing your Scrapy bot IP using tsocks,12-Nov-10,< 1
Spiders activity graphs,By Kevin McKinless,https://www.zyte.com/blog/spiders-activity-graphs/,Spiders activity graphs,25-Aug-12,2
Introducing w3lib and scrapely,By Kevin McKinless,https://www.zyte.com/blog/introducing-w3lib-and-scrapely/,Introducing w3lib and scrapely,"April 20, 2011",2
Scrapy 0.12 released,By Kevin McKinless,https://www.zyte.com/blog/scrapy-0-12-released/,Scrapy 0.12 released,3-Jan-11,< 1
Dirbot: A new example Scrapy project,By Kevin McKinless,https://www.zyte.com/blog/dirbot-a-new-example-scrapy-project/,Dirbot: A new example Scrapy project,"April 28, 2011",< 1
How to fill login forms automatically,By Zyte team,https://www.zyte.com/blog/filling-login-forms-automatically/,How to fill login forms automatically,26-Oct-12,2
Scrapy 0.15 dropping support for Python 2.5,By Kevin McKinless,https://www.zyte.com/blog/scrapy-0-15-dropping-support-for-python-2-5/,Scrapy 0.15 dropping support for Python 2.5,27-Feb-12,< 1
"Hello, world",By Kevin McKinless,https://www.zyte.com/blog/hello-world/,"Hello, world",26-Jun-10,< 1
Finding similar items,By Kevin McKinless,https://www.zyte.com/blog/finding-similar-items/,Finding similar items,23-Jul-12,6
Autoscraping casts a wider net,By Kevin McKinless,https://www.zyte.com/blog/autoscraping-casts-a-wider-net/,Autoscraping casts a wider net,27-Feb-12,< 1
